Operon	Start	Stop	Length	Orientation	Average operon coverage	Number of genes in operon	Genes in operon
MT0680-MT0683	750249	753478	3229	+	42.7	3	MT0680, MT0681, MT0683
MT0685(not expressed)	754957	755340	383	-	NOT EXPRESSED		
MT0686-MT0689	755435	757204	1769	-	405.2	4	MT0686, MT0687, MT0688, MT0689
MT0684	753559	754569	1010	+	505.5	1	MT0684
MT0692	758110	760473	2363	+	33.9	1	MT0692
MT0692.1(not expressed)	760536	760862	326	+	NOT EXPRESSED		
MT0690-MT0691	757308	758122	814	-	8.9	2	MT0690, MT0691
MT0693(not expressed)	760774	761112	338	+	NOT EXPRESSED		
MT0697	769290	769664	374	-	20.5	1	MT0697
MT0694-MT0704	761267	777548	16281	+	16.6	9	MT0694, MT0695, MT0696, MT0699, MT0700, MT0701, MT0702, MT0703, MT0704
MT0705-MT0706	777560	780879	3319	-	57.0	2	MT0705, MT0706
MT0706.1	780964	781461	497	+	72.7	1	MT0706.1
MT0709-MT0713	782629	787985	5356	+	330.8	5	MT0709, MT0710, MT0711, MT0712, MT0713
MT0714	788123	788920	797	+	85.1	1	MT0714
MT0707-MT0708	781517	782390	873	-	25.1	2	MT0707, MT0708
MT0717(not expressed)	791131	791385	254	-	NOT EXPRESSED		
MT0715-MT0716	789073	791134	2061	+	27.7	2	MT0715, MT0716
MT0717.1(not expressed)	791498	791773	275	-	NOT EXPRESSED		
MT0719.1-MT0724	793632	800345	6713	+	69.1	7	MT0719.1, MT0719.2, MT0720, MT0721, MT0722, MT0723, MT0724
MT0724.1(not expressed)	800335	800538	203	+	NOT EXPRESSED		
MT0718-MT0719	791998	793640	1642	-	40.1	2	MT0718, MT0719
MT0726(not expressed)	801133	801780	647	-	NOT EXPRESSED		
MT0725	800672	800770	98	+	11.1	1	MT0725
MT0726.1(not expressed)	802077	802367	290	-	NOT EXPRESSED		
MT0727-MT0738	802460	810887	8427	+	131.3	12	MT0727, MT0728, MT0729, MT0730, MT0731, MT0732, MT0733, MT0734, MT0735, MT0736, MT0737, MT0738
MT0739	810935	811834	899	+	41.1	1	MT0739
MT0740	812135	813076	941	+	39.0	1	MT0740
MT0751	820727	821830	1103	-	57.4	1	MT0751
MT0752(not expressed)	822033	822689	656	-	NOT EXPRESSED		
MT0740.1-MT0749	813244	819724	6480	+	167.8	12	MT0740.1, MT0741, MT0741.1, MT0742, MT0742.1, MT0743, MT0744, MT0745, MT0746, MT0747, MT0748, MT0749
MT0753(not expressed)	822686	823666	980	-	NOT EXPRESSED		
MT0754(not expressed)	823697	825043	1346	+	NOT EXPRESSED		
MT0756(not expressed)	825873	826829	956	-	NOT EXPRESSED		
MT0755-MT0758	825056	829660	4604	+	118.9	4	MT0755, MT0756.1, MT0757, MT0758
MT0759(not expressed)	829733	830266	533	+	NOT EXPRESSED		
MT0760(not expressed)	830330	831082	752	+	NOT EXPRESSED		
MT0761(not expressed)	831137	831349	212	+	NOT EXPRESSED		
MT0762(not expressed)	831397	831894	497	+	NOT EXPRESSED		
MT0762.1(not expressed)	831891	832103	212	+	NOT EXPRESSED		
MT0763	832252	832800	548	+	55.1	1	MT0763
MT0764(not expressed)	833045	833851	806	+	NOT EXPRESSED		
MT0765-MT0767	833885	835037	1152	+	60.9	3	MT0765, MT0766, MT0767
MT0768(not expressed)	835179	835697	518	+	NOT EXPRESSED		
MT0768.1(not expressed)	835866	836006	140	-	NOT EXPRESSED		
MT0769-MT0770	836075	837168	1093	-	11.5	2	MT0769, MT0770
MT0771(not expressed)	837248	837394	146	-	NOT EXPRESSED		
MT0772(not expressed)	837343	837870	527	+	NOT EXPRESSED		
MT0772.1(not expressed)	837890	840241	2351	+	NOT EXPRESSED		
MT0772.2(not expressed)	840318	840560	242	+	NOT EXPRESSED		
MT0772.5(not expressed)	840640	842997	2357	+	NOT EXPRESSED		
MT0772.6-MT0773	843079	843797	718	+	69.8	2	MT0772.6, MT0773
MT0773.1	843878	844015	137	-	36.6	1	MT0773.1
MT0774	844150	844419	269	+	381.1	1	MT0774
MT0778(not expressed)	848300	850054	1754	+	NOT EXPRESSED		
MT0775-MT0777	844488	848094	3606	-	26.6	3	MT0775, MT0776, MT0777
MT0779	850244	852184	1940	-	35.8	1	MT0779
MT0781	852868	853641	773	+	49.4	1	MT0781
MT0780	852483	852698	215	-	94.2	1	MT0780
MT0784-MT0787	855966	858610	2644	-	119.5	4	MT0784, MT0785, MT0786, MT0787
MT0787.1(not expressed)	858613	858855	242	-	NOT EXPRESSED		
MT0782-MT0783	853770	855994	2224	+	108.4	2	MT0782, MT0783
MT0792(not expressed)	863052	864521	1469	+	NOT EXPRESSED		
MT0793	864552	865298	746	+	13.0	1	MT0793
MT0794(not expressed)	865396	866283	887	+	NOT EXPRESSED		
MT0795	866280	866714	434	+	11.0	1	MT0795
MT0788-MT0791	858822	862850	4028	-	9.3	4	MT0788, MT0789, MT0790, MT0791
MT0796	866726	867994	1268	+	12.5	1	MT0796
MT0797-MT0798	867991	870491	2500	-	23.1	2	MT0797, MT0798
MT0800(not expressed)	871124	871903	779	-	NOT EXPRESSED		
MT0799	870547	871170	623	+	24.0	1	MT0799
MT0803(not expressed)	874812	875495	683	-	NOT EXPRESSED		
MT0801-MT0802	872148	874815	2667	+	40.1	2	MT0801, MT0802
MT0806(not expressed)	878461	878940	479	-	NOT EXPRESSED		
MT0804-MT0805	875483	878532	3049	+	25.7	2	MT0804, MT0805
MT0807	878960	880597	1637	-	62.3	1	MT0807
MT0808-MT0809	880627	883182	2555	+	77.9	2	MT0808, MT0809
MT0811(not expressed)	883832	884560	728	+	NOT EXPRESSED		
MT0810	883217	883855	638	-	21.4	1	MT0810
MT0814(not expressed)	885593	886192	599	-	NOT EXPRESSED		
MT0812-MT0813	884666	885576	910	+	80.6	2	MT0812, MT0813
MT0818(not expressed)	890240	891391	1151	+	NOT EXPRESSED		
MT0815-MT0817	886214	889910	3696	-	12.9	3	MT0815, MT0816, MT0817
MT0819-MT0820	891381	893182	1801	-	49.2	2	MT0819, MT0820
MT0821	893227	894528	1301	+	16.7	1	MT0821
MT0823-MT0824	895729	898619	2890	+	15.8	2	MT0823, MT0824
MT0822	894881	895537	656	-	28.3	1	MT0822
MT0826	899641	901239	1598	-	12.6	1	MT0826
MT0827(not expressed)	901274	901381	107	-	NOT EXPRESSED		
MT0825	898740	899696	956	+	108.7	1	MT0825
MT0831	904814	904996	182	-	487.5	1	MT0831
MT0828-MT0830	901544	904728	3184	+	117.8	3	MT0828, MT0829, MT0830
MT0832	905143	906249	1106	-	73.1	1	MT0832
MT0834-MT0838	907247	909942	2695	-	139.8	5	MT0834, MT0835, MT0836, MT0837, MT0838
MT0839(not expressed)	909939	910751	812	-	NOT EXPRESSED		
MT0833	906314	907201	887	+	14.8	1	MT0833
MT0843-MT0846	913467	918659	5192	-	254.0	4	MT0843, MT0844, MT0845, MT0846
MT0847(not expressed)	918821	919540	719	-	NOT EXPRESSED		
MT0840-MT0842	910842	913411	2569	+	43.6	3	MT0840, MT0841, MT0842
MT0848	919507	920598	1091	+	225.3	1	MT0848
MT0850	921379	921774	395	+	54.0	1	MT0850
MT0849	920650	921048	398	-	137.9	1	MT0849
MT0852	922803	923720	917	-	269.5	1	MT0852
MT0853(not expressed)	924302	924472	170	-	NOT EXPRESSED		
MT0851	921879	922784	905	+	38.6	1	MT0851
MT0854	924821	925273	452	+	34.6	1	MT0854
MT0854.1(not expressed)	925270	927519	2249	+	NOT EXPRESSED		
MT0855	927746	930385	2639	-	19.1	1	MT0855
MT0856.1	931478	932029	551	-	10.0	1	MT0856.1
MT0857(not expressed)	932179	932925	746	-	NOT EXPRESSED		
MT0856	930646	931497	851	+	13.7	1	MT0856
MT0858(not expressed)	932903	933931	1028	-	NOT EXPRESSED		
MT0859(not expressed)	934193	934381	188	-	NOT EXPRESSED		
MT0862(not expressed)	936357	937217	860	-	NOT EXPRESSED		
MT0860-MT0861	934695	936289	1594	+	23.5	2	MT0860, MT0861
MT0863(not expressed)	937493	937735	242	+	NOT EXPRESSED		
MT0864(not expressed)	937976	939304	1328	+	NOT EXPRESSED		
MT0865(not expressed)	939288	940292	1004	+	NOT EXPRESSED		
MT0867(not expressed)	941078	942367	1289	+	NOT EXPRESSED		
MT0866	940356	941006	650	-	55.5	1	MT0866
MT0868(not expressed)	942350	942469	119	-	NOT EXPRESSED		
MT0870	944219	944635	416	+	198.3	1	MT0870
MT0873(not expressed)	947210	947542	332	+	NOT EXPRESSED		
MT0869	942580	944094	1514	-	10.8	1	MT0869
MT0874(not expressed)	947539	948375	836	-	NOT EXPRESSED		
MT0875	948457	949293	836	+	13.1	1	MT0875
MT0877-MT0878	951081	952609	1528	+	41.0	2	MT0877, MT0878
MT0876	949334	951016	1682	-	21.5	1	MT0876
MT0881(not expressed)	953625	954818	1193	-	NOT EXPRESSED		
MT0879-MT0880	952693	953628	935	+	86.3	2	MT0879, MT0880
MT0882-MT0883	954975	958353	3378	+	107.8	2	MT0882, MT0883
MT0884-MT0885	958421	962616	4195	-	28.1	2	MT0884, MT0885
MT0886-MT0889	962603	964298	1695	+	129.6	4	MT0886, MT0887, MT0888, MT0889
MT0890-MT0892.1	964316	967737	3421	-	87.2	4	MT0890, MT0891, MT0892, MT0892.1
MT0894	968428	970257	1829	-	73.1	1	MT0894
MT0895(not expressed)	970338	970529	191	-	NOT EXPRESSED		
MT0893	967902	968309	407	+	41.2	1	MT0893
MT0896	970518	972470	1952	+	92.1	1	MT0896
MT0897-MT0899	972559	975982	3423	-	37.4	3	MT0897, MT0898, MT0899
MT0901(not expressed)	976884	978218	1334	-	NOT EXPRESSED		
MT0902	978493	978768	275	-	56.0	1	MT0902
MT0903(not expressed)	978765	979400	635	-	NOT EXPRESSED		
MT0900	976087	976875	788	+	78.8	1	MT0900
MT0904(not expressed)	979512	980240	728	+	NOT EXPRESSED		
MT0905(not expressed)	980237	980521	284	+	NOT EXPRESSED		
MT0908	982774	983796	1022	+	28.6	1	MT0908
MT0909(not expressed)	983815	985542	1727	+	NOT EXPRESSED		
MT0906-MT0907	980518	982566	2048	-	53.0	2	MT0906, MT0907
MT0910.1(not expressed)	986004	986159	155	+	NOT EXPRESSED		
MT0910	985525	986037	512	-	11.1	1	MT0910
MT0910.2(not expressed)	986281	986547	266	+	NOT EXPRESSED		
MT0910.3(not expressed)	986686	986835	149	+	NOT EXPRESSED		
MT0910.4(not expressed)	986746	986892	146	-	NOT EXPRESSED		
MT0911	987194	988717	1523	+	18.0	1	MT0911
MT0915.1(not expressed)	993473	993868	395	+	NOT EXPRESSED		
MT0912-MT0915	988752	993467	4715	-	38.6	3	MT0912, MT0914, MT0915
MT0916	993865	995352	1487	+	26.3	1	MT0916
MT0918(not expressed)	996536	997717	1181	+	NOT EXPRESSED		
MT0917	995330	996307	977	-	14.0	1	MT0917
MT0919(not expressed)	997749	999311	1562	+	NOT EXPRESSED		
MT0920	999484	1000779	1295	+	501.0	1	MT0920
MT0921-MT0921.1	1000820	1002716	1896	-	260.2	2	MT0921, MT0921.1
MT0925-MT0926	1004513	1006574	2061	-	80.7	2	MT0925, MT0926
MT0927(not expressed)	1006705	1008192	1487	-	NOT EXPRESSED		
MT0922-MT0924	1002824	1004496	1672	+	25.5	3	MT0922, MT0923, MT0924
MT0928-MT0931	1008219	1014137	5918	+	19.4	4	MT0928, MT0929, MT0930, MT0931
MT0932(not expressed)	1014407	1014568	161	+	NOT EXPRESSED		
MT0937-MT0939	1016833	1019978	3145	-	49.3	3	MT0937, MT0938, MT0939
MT0940(not expressed)	1020071	1021351	1280	-	NOT EXPRESSED		
MT0933-MT0936	1014694	1016698	2004	+	47.8	4	MT0933, MT0934, MT0934.1, MT0936
MT0942	1022100	1023881	1781	+	12.1	1	MT0942
MT0943(not expressed)	1023878	1024135	257	+	NOT EXPRESSED		
MT0941	1021357	1021656	299	-	17.3	1	MT0941
MT0946	1025183	1025329	146	-	116.6	1	MT0946
MT0944-MT0945	1024164	1025197	1033	+	13.8	2	MT0944, MT0945
MT0947	1025510	1026829	1319	-	19.6	1	MT0947
MT0950	1029526	1030590	1064	-	10.9	1	MT0950
MT0951(not expressed)	1030591	1031880	1289	-	NOT EXPRESSED		
MT0948-MT0949	1027117	1029350	2233	+	50.7	2	MT0948, MT0949
MT0952-MT0954	1031909	1034644	2735	-	51.7	3	MT0952, MT0953, MT0954
MT0955-MT0957	1034859	1037926	3067	+	37.0	3	MT0955, MT0956, MT0957
MT0958-MT0959	1037933	1041061	3128	-	515.5	2	MT0958, MT0959
MT0960-MT0963	1041277	1045235	3958	+	47.1	4	MT0960, MT0961, MT0962, MT0963
MT0964	1045212	1046033	821	-	70.0	1	MT0964
MT0967-MT0968.1	1050606	1052563	1957	-	23.7	3	MT0967, MT0968, MT0968.1
MT0969(not expressed)	1052709	1053704	995	-	NOT EXPRESSED		
MT0965-MT0966	1046149	1050359	4210	+	64.9	2	MT0965, MT0966
MT0970(not expressed)	1053754	1054254	500	+	NOT EXPRESSED		
MT0972	1055037	1056698	1661	-	49.8	1	MT0972
MT0973(not expressed)	1056799	1057083	284	-	NOT EXPRESSED		
MT0971	1054260	1055021	761	+	20.5	1	MT0971
MT0974(not expressed)	1057313	1057543	230	-	NOT EXPRESSED		
MT0975	1057659	1058312	653	-	27.6	1	MT0975
MT0976	1058273	1060588	2315	+	37.0	1	MT0976
MT0977	1060669	1061667	998	-	50.4	1	MT0977
MT0980(not expressed)	1064061	1064975	914	-	NOT EXPRESSED		
MT0978-MT0979	1061977	1064064	2087	+	170.0	2	MT0978, MT0979
MT0981-MT0982	1065140	1067458	2318	+	125.9	2	MT0981, MT0982
MT0983-MT0986	1067574	1073286	5712	+	20.4	4	MT0983, MT0984, MT0985, MT0986
MT0990(not expressed)	1074453	1075127	674	-	NOT EXPRESSED		
MT0987-MT0989	1073340	1074434	1094	+	52.5	3	MT0987, MT0988, MT0989
MT0991(not expressed)	1075124	1075264	140	-	NOT EXPRESSED		
MT0992(not expressed)	1075310	1076110	800	-	NOT EXPRESSED		
MT0992.1(not expressed)	1076209	1076625	416	-	NOT EXPRESSED		
MT0993-MT0994	1076791	1077938	1147	-	40.5	2	MT0993, MT0994
MT0999.1(not expressed)	1081788	1082597	809	-	NOT EXPRESSED		
MT1000	1082597	1083763	1166	-	14.1	1	MT1000
MT1001(not expressed)	1083760	1085763	2003	-	NOT EXPRESSED		
MT0995-MT0998	1077988	1081697	3709	+	16.2	4	MT0995, MT0996, MT0997, MT0998
MT1002(not expressed)	1085769	1087364	1595	-	NOT EXPRESSED		
MT1003(not expressed)	1087361	1088509	1148	-	NOT EXPRESSED		
MT1003.1(not expressed)	1088506	1090188	1682	-	NOT EXPRESSED		
MT1006.1(not expressed)	1093376	1094383	1007	-	NOT EXPRESSED		
MT1008(not expressed)	1095105	1096535	1430	-	NOT EXPRESSED		
MT1007	1094562	1095086	524	+	63.7	1	MT1007
MT1009-MT1012	1096855	1101044	4189	+	79.4	4	MT1009, MT1010, MT1011, MT1012
MT1013	1101064	1101519	455	-	31.1	1	MT1013
MT1018	1106444	1107445	1001	-	15.2	1	MT1018
MT1019(not expressed)	1107482	1108138	656	-	NOT EXPRESSED		
MT1014-MT1017	1101842	1106315	4473	+	17.6	3	MT1014, MT1015, MT1017
MT1022-MT1025	1109311	1113499	4188	+	87.3	4	MT1022, MT1023, MT1024, MT1025
MT1025.1	1113673	1113813	140	+	49.3	1	MT1025.1
MT1020-MT1021	1108211	1109204	993	-	48.6	2	MT1020, MT1021
MT1025.3(not expressed)	1114211	1114420	209	-	NOT EXPRESSED		
MT1025.2-MT1027	1113899	1115787	1888	+	90.4	3	MT1025.2, MT1026, MT1027
MT1028	1115805	1116563	758	+	28.9	1	MT1028
MT1029	1116569	1117186	617	-	89.8	1	MT1029
MT1030	1117223	1118431	1208	+	86.7	1	MT1030
MT1031	1118466	1119977	1511	-	21.8	1	MT1031
MT1033	1120927	1122240	1313	-	13.9	1	MT1033
MT1032	1120060	1120917	857	+	11.3	1	MT1032
MT1034	1122275	1123918	1643	-	11.6	1	MT1034
MT1035	1123758	1125461	1703	+	67.7	1	MT1035
MT1037(not expressed)	1127424	1127927	503	+	NOT EXPRESSED		
MT1038-MT1039	1128135	1130149	2014	+	25.5	2	MT1038, MT1039
MT1036	1125488	1127047	1559	-	39.2	1	MT1036
MT1040.1(not expressed)	1131425	1131724	299	-	NOT EXPRESSED		
MT1040	1130235	1131155	920	+	16.0	1	MT1040
MT1041	1131690	1133303	1613	+	65.7	1	MT1041
MT1047-MT1050	1138344	1144511	6167	+	39.0	4	MT1047, MT1048, MT1049, MT1050
MT1042-MT1046	1133377	1138158	4781	-	77.3	5	MT1042, MT1043, MT1044, MT1045, MT1046
MT1051-MT1054	1144608	1148022	3414	+	10.5	4	MT1051, MT1052, MT1053, MT1054
MT1055(not expressed)	1148262	1148474	212	+	NOT EXPRESSED		
MT1054.1	1148024	1148200	176	-	63.8	1	MT1054.1
MT1056(not expressed)	1148471	1149151	680	-	NOT EXPRESSED		
MT1057.1(not expressed)	1151958	1152056	98	+	NOT EXPRESSED		
MT1057	1149148	1151763	2615	-	14.9	1	MT1057
MT1058(not expressed)	1152056	1153771	1715	+	NOT EXPRESSED		
MT1059(not expressed)	1153768	1155897	2129	+	NOT EXPRESSED		
MT1061-MT1062	1156470	1158837	2367	-	65.2	2	MT1061, MT1062
MT1063(not expressed)	1158962	1159351	389	-	NOT EXPRESSED		
MT1060	1155897	1156466	569	+	13.0	1	MT1060
MT1065(not expressed)	1159419	1160105	686	-	NOT EXPRESSED		
MT1066-MT1067	1160588	1161225	637	-	82.5	2	MT1066, MT1067
MT1068(not expressed)	1161341	1162516	1175	-	NOT EXPRESSED		
MT1069(not expressed)	1162593	1163420	827	-	NOT EXPRESSED		
MT1071(not expressed)	1164208	1164516	308	-	NOT EXPRESSED		
MT1070-MT1070.1	1163734	1164229	495	+	59.5	2	MT1070, MT1070.1
MT1073	1165826	1166851	1025	-	15.4	1	MT1073
MT1074-MT1075	1167098	1168599	1501	+	14.1	2	MT1074, MT1075
MT1076(not expressed)	1169406	1170716	1310	+	NOT EXPRESSED		
MT1075.1	1168681	1169469	788	-	208.3	1	MT1075.1
MT1077(not expressed)	1170801	1170953	152	+	NOT EXPRESSED		
MT1078(not expressed)	1171084	1172199	1115	-	NOT EXPRESSED		
MT1079	1172432	1172878	446	+	14.6	1	MT1079
MT1080(not expressed)	1172924	1173832	908	+	NOT EXPRESSED		
MT1081(not expressed)	1173991	1174746	755	-	NOT EXPRESSED		
MT1082(not expressed)	1175041	1175667	626	-	NOT EXPRESSED		
MT1083-MT1083.1	1175769	1176531	762	+	80.8	2	MT1083, MT1083.1
MT1083.2-MT1084	1176612	1177288	676	+	22.1	2	MT1083.2, MT1084
MT1085	1177674	1178438	764	+	16.7	1	MT1085
MT1087(not expressed)	1179241	1180623	1382	+	NOT EXPRESSED		
MT1086	1178650	1178862	212	-	10.7	1	MT1086
MT1093	1185787	1186869	1082	-	82.9	1	MT1093
MT1094(not expressed)	1186950	1187369	419	-	NOT EXPRESSED		
MT1088-MT1092	1180730	1185786	5056	+	11.1	5	MT1088, MT1089, MT1090, MT1091, MT1092
MT1096.1(not expressed)	1188467	1190470	2003	-	NOT EXPRESSED		
MT1095-MT1096	1187481	1188439	958	+	31.0	2	MT1095, MT1096
MT1096.2(not expressed)	1190575	1190697	122	+	NOT EXPRESSED		
MT1097(not expressed)	1190803	1192404	1601	-	NOT EXPRESSED		
MT1098(not expressed)	1192473	1192613	140	+	NOT EXPRESSED		
MT1099-MT1101	1192697	1196327	3630	-	115.3	3	MT1099, MT1100, MT1101
MT1104	1198391	1199608	1217	-	135.5	1	MT1104
MT1102-MT1103	1196514	1198317	1803	+	1163.1	2	MT1102, MT1103
MT1105	1199661	1200617	956	-	47.9	1	MT1105
MT1107(not expressed)	1201859	1201969	110	-	NOT EXPRESSED		
MT1106-MT1110	1200819	1205468	4649	+	180.3	4	MT1106, MT1108, MT1109, MT1110
MT1113-MT1115	1206755	1209892	3137	+	16.2	3	MT1113, MT1114, MT1115
MT1116(not expressed)	1209902	1210021	119	+	NOT EXPRESSED		
MT1111-MT1112	1205539	1206680	1141	-	105.9	2	MT1111, MT1112
MT1118	1210830	1211618	788	+	85.5	1	MT1118
MT1118.2(not expressed)	1214241	1214561	320	+	NOT EXPRESSED		
MT1117	1209991	1210719	728	-	14.3	1	MT1117
MT1119(not expressed)	1214696	1215148	452	+	NOT EXPRESSED		
MT1120(not expressed)	1215165	1215332	167	+	NOT EXPRESSED		
MT1121(not expressed)	1215426	1215608	182	+	NOT EXPRESSED		
MT1122.1(not expressed)	1216501	1216650	149	-	NOT EXPRESSED		
MT1122	1215800	1216255	455	+	18.4	1	MT1122
MT1123(not expressed)	1216670	1218577	1907	+	NOT EXPRESSED		
MT1125-MT1127	1220121	1223845	3724	+	226.3	3	MT1125, MT1126, MT1127
MT1124	1218795	1219733	938	-	66.8	1	MT1124
MT1128	1223932	1224807	875	+	26.5	1	MT1128
MT1129-MT1131	1224810	1228129	3319	-	49.1	3	MT1129, MT1130, MT1131
MT1133-MT1135	1228938	1230754	1816	-	113.7	3	MT1133, MT1134, MT1135
MT1132	1228380	1228931	551	+	58.3	1	MT1132
MT1137-MT1140	1232392	1235643	3251	-	155.8	4	MT1137, MT1138, MT1139, MT1140
MT1141	1235751	1236740	989	+	173.3	1	MT1141
MT1143(not expressed)	1237803	1238876	1073	+	NOT EXPRESSED		
MT1143.1-MT1144	1238964	1239532	568	+	17.9	2	MT1143.1, MT1144
MT1145(not expressed)	1239735	1240433	698	+	NOT EXPRESSED		
MT1142	1236757	1237740	983	-	47.4	1	MT1142
MT1147(not expressed)	1240503	1240736	233	+	NOT EXPRESSED		
MT1148	1240663	1240938	275	-	11.9	1	MT1148
MT1150(not expressed)	1241519	1242379	860	-	NOT EXPRESSED		
MT1149	1241181	1241504	323	+	190.9	1	MT1149
MT1151(not expressed)	1242412	1242612	200	-	NOT EXPRESSED		
MT1152(not expressed)	1242558	1243052	494	-	NOT EXPRESSED		
MT1153-MT1154	1243255	1245699	2444	+	72.6	2	MT1153, MT1154
MT1156	1246675	1247625	950	+	17.2	1	MT1156
MT1157.1(not expressed)	1248274	1248873	599	+	NOT EXPRESSED		
MT1155	1245692	1246627	935	-	31.9	1	MT1155
MT1158-MT1159	1248877	1250951	2074	-	35.2	2	MT1158, MT1159
MT1160-MT1161	1251257	1254081	2824	-	23.5	2	MT1160, MT1161
MT1165	1258614	1260893	2279	-	274.8	1	MT1165
MT1166(not expressed)	1261269	1261388	119	-	NOT EXPRESSED		
MT1162-MT1164	1254102	1258602	4500	+	28.2	3	MT1162, MT1163, MT1164
MT1167(not expressed)	1261469	1261705	236	+	NOT EXPRESSED		
MT1168(not expressed)	1261819	1263729	1910	-	NOT EXPRESSED		
MT1169(not expressed)	1263861	1264103	242	+	NOT EXPRESSED		
MT1169.1(not expressed)	1264153	1264494	341	+	NOT EXPRESSED		
MT1170(not expressed)	1264581	1264985	404	+	NOT EXPRESSED		
MT1171(not expressed)	1265019	1266035	1016	-	NOT EXPRESSED		
MT1172	1266032	1266406	374	-	15.9	1	MT1172
MT1172.1(not expressed)	1266689	1266907	218	-	NOT EXPRESSED		
MT1173	1266836	1267684	848	+	183.8	1	MT1173
MT1174-MT1175	1267692	1269447	1755	-	75.3	2	MT1174, MT1175
MT1176-MT1177	1269446	1271397	1951	+	30.1	2	MT1176, MT1177
MT1180(not expressed)	1274389	1275039	650	+	NOT EXPRESSED		
MT1178	1271525	1271680	155	-	495.5	1	MT1178
MT1182-MT1183	1275517	1277288	1771	-	18.9	2	MT1182, MT1183
MT1181	1275131	1275463	332	+	12.0	1	MT1181
MT1185	1278394	1279107	713	-	23.6	1	MT1185
MT1186	1279145	1279510	365	+	144.1	1	MT1186
MT1189	1280979	1281362	383	+	220.3	1	MT1189
MT1187-MT1188	1279488	1280920	1432	-	17.2	2	MT1187, MT1188
MT1190-MT1192	1281520	1282526	1006	+	307.6	3	MT1190, MT1191, MT1192
MT1193-MT1194	1282546	1284350	1804	-	37.4	2	MT1193, MT1194
MT1195	1284477	1285775	1298	+	13.4	1	MT1195
MT1197(not expressed)	1286083	1286508	425	+	NOT EXPRESSED		
MT1198-MT1202	1286816	1295542	8726	+	56.9	5	MT1198, MT1199, MT1200, MT1201, MT1202
MT1196	1285772	1286077	305	-	469.6	1	MT1196
MT1203	1295640	1297547	1907	+	44.0	1	MT1203
MT1204-MT1206	1297575	1299630	2055	-	44.6	3	MT1204, MT1205, MT1206
MT1207-MT1208	1299792	1301235	1443	+	90.5	2	MT1207, MT1208
MT1209	1301243	1302169	926	-	30.8	1	MT1209
MT1210	1302419	1304989	2570	+	132.7	1	MT1210
MT1211-MT1213	1305157	1308454	3297	-	49.7	3	MT1211, MT1212, MT1213
MT1216(not expressed)	1309968	1310738	770	-	NOT EXPRESSED		
MT1214-MT1215	1308493	1309940	1447	+	220.4	2	MT1214, MT1215
MT1217(not expressed)	1310681	1312786	2105	-	NOT EXPRESSED		
MT1218(not expressed)	1313164	1319469	6305	+	NOT EXPRESSED		
MT1219	1319522	1320940	1418	+	24.6	1	MT1219
MT1220(not expressed)	1321007	1324015	3008	+	NOT EXPRESSED		
MT1221(not expressed)	1324019	1325134	1115	-	NOT EXPRESSED		
MT1222	1325263	1326999	1736	-	44.6	1	MT1222
MT1223(not expressed)	1327176	1328792	1616	-	NOT EXPRESSED		
MT1224-MT1225	1328877	1331497	2620	+	20.6	2	MT1224, MT1225
MT1226(not expressed)	1331579	1332451	872	+	NOT EXPRESSED		
MT1227(not expressed)	1332467	1333345	878	+	NOT EXPRESSED		
MT1228	1333376	1334332	956	+	21.5	1	MT1228
MT1229-MT1230	1334414	1336702	2288	+	63.7	2	MT1229, MT1230
MT1231-MT1232	1336735	1338319	1584	-	37.8	2	MT1231, MT1232
MT1237(not expressed)	1340845	1342155	1310	-	NOT EXPRESSED		
MT1233-MT1236	1338454	1340777	2323	+	529.0	4	MT1233, MT1234, MT1235, MT1236
MT1238	1342429	1343706	1277	+	24.8	1	MT1238
MT1239	1343703	1344656	953	-	113.3	1	MT1239
MT1241(not expressed)	1345808	1346392	584	-	NOT EXPRESSED		
MT1240	1344747	1345811	1064	+	26.2	1	MT1240
MT1242	1346423	1348111	1688	-	13.6	1	MT1242
MT1243-MT1249	1348206	1353957	5751	+	330.8	7	MT1243, MT1244, MT1245, MT1246, MT1247, MT1248, MT1249
MT1250	1353985	1355148	1163	-	11.9	1	MT1250
MT1252-MT1257	1356780	1362848	6068	-	13.2	6	MT1252, MT1253, MT1254, MT1255, MT1256, MT1257
MT1251	1355323	1356537	1214	+	86.4	1	MT1251
MT1258	1362990	1363637	647	-	46.1	1	MT1258
MT1259-MT1262	1363900	1367346	3446	+	125.8	4	MT1259, MT1260, MT1261, MT1262
MT1264.1(not expressed)	1369768	1370361	593	+	NOT EXPRESSED		
MT1265	1370408	1370965	557	+	10.3	1	MT1265
MT1266(not expressed)	1371017	1371190	173	+	NOT EXPRESSED		
MT1263-MT1267	1367379	1372437	5058	-	56.7	3	MT1263, MT1264, MT1267
MT1272-MT1274	1376464	1379338	2874	+	28.6	3	MT1272, MT1273, MT1274
MT1268-MT1271	1372450	1376323	3873	-	313.8	4	MT1268, MT1269, MT1270, MT1271
MT1275-MT1276	1379343	1381353	2010	+	47.7	2	MT1275, MT1276
MT1277	1381430	1382530	1100	-	20.9	1	MT1277
MT1280.1(not expressed)	1384477	1386237	1760	-	NOT EXPRESSED		
MT1278-MT1280	1382701	1384454	1753	+	59.5	3	MT1278, MT1279, MT1280
MT1281	1386345	1387205	860	+	56.1	1	MT1281
MT1285(not expressed)	1388630	1388749	119	+	NOT EXPRESSED		
