Strain,Gene,No_of_mutations
TKK-01-0075.annotated.vcf,RVBD_1369c,885
TKK-01-0075.annotated.vcf,RVBD_2355,885
TKK-01-0075.annotated.vcf,RVBD_2279,885
TKK-01-0075.annotated.vcf,RVBD_3187,885
TKK-01-0075.annotated.vcf,RVBD_2649,885
TKK-01-0075.annotated.vcf,RVBD_3380c,885
TKK-01-0075.annotated.vcf,RVBD_3185,885
TKK-01-0075.annotated.vcf,RVBD_2167c,885
TKK-01-0075.annotated.vcf,RVBD_3514,857
TKK-01-0075.annotated.vcf,RVBD_2082,742
TKK-01-0075.annotated.vcf,RVBD_2108,732
TKK-01-0075.annotated.vcf,RVBD_3021c,713
TKK-01-0075.annotated.vcf,RVBD_1587c,626
TKK-01-0076.annotated.vcf,RVBD_1369c,882
TKK-01-0076.annotated.vcf,RVBD_3508,601
TKK-01-0076.annotated.vcf,RVBD_3514,416
TKK-01-0076.annotated.vcf,RVBD_0797,354
TKK-01-0076.annotated.vcf,RVBD_1370c,327
TKK-01-0076.annotated.vcf,RVBD_3343c,288
TKK-01-0076.annotated.vcf,RVBD_1753c,179
TKK-01-0076.annotated.vcf,RVBD_0355c,138
TKK-01-0076.annotated.vcf,RVBD_1450c,87
TKK-01-0076.annotated.vcf,RVBD_2048c,43
TKK-01-0076.annotated.vcf,RVBD_1087,42
TKK-01-0076.annotated.vcf,RVBD_1758,25
TKK-01-0076.annotated.vcf,RVBD_0278c,19
TKK-01-0076.annotated.vcf,RVBD_3345c,17
TKK-01-0076.annotated.vcf,RVBD_1441c,16
TKK-01-0076.annotated.vcf,RVBD_2931,14
TKK-01-0076.annotated.vcf,RVBD_2101,13
TKK-01-0076.annotated.vcf,RVBD_0532,12
TKK-01-0076.annotated.vcf,RVBD_3919c,11
TKK-01-0076.annotated.vcf,RVBD_0127,9
TKK-01-0076.annotated.vcf,RVBD_1588c,8
TKK-01-0076.annotated.vcf,RVBD_1844c,7
TKK-01-0076.annotated.vcf,RVBD_1067c,7
TKK-01-0076.annotated.vcf,RVBD_3466,7
TKK-01-0076.annotated.vcf,RVBD_1452c,6
TKK-01-0076.annotated.vcf,RVBD_0980c,6
TKK-01-0076.annotated.vcf,RVBD_3347c,5
TKK-01-0076.annotated.vcf,RVBD_2177c,5
TKK-01-0076.annotated.vcf,RVBD_3558,5
TKK-01-0076.annotated.vcf,RVBD_0095c,5
TKK-01-0077.annotated.vcf,RVBD_3508,1365
TKK-01-0077.annotated.vcf,RVBD_2479c,885
TKK-01-0077.annotated.vcf,RVBD_0796,885
TKK-01-0077.annotated.vcf,RVBD_3514,712
TKK-01-0077.annotated.vcf,RVBD_3511,442
TKK-01-0077.annotated.vcf,RVBD_2480c,327
TKK-01-0077.annotated.vcf,RVBD_0795,327
TKK-01-0077.annotated.vcf,RVBD_0797,286
TKK-01-0077.annotated.vcf,RVBD_2048c,207
TKK-01-0077.annotated.vcf,RVBD_1452c,171
TKK-01-0077.annotated.vcf,RVBD_1765c,140
TKK-01-0077.annotated.vcf,RVBD_3281,137
TKK-01-0077.annotated.vcf,RVBD_0978c,136
TKK-01-0077.annotated.vcf,RVBD_1917c,132
TKK-01-0077.annotated.vcf,RVBD_1753c,114
TKK-01-0077.annotated.vcf,RVBD_0980c,88
TKK-01-0077.annotated.vcf,RVBD_1787,65
TKK-01-0077.annotated.vcf,RVBD_0304c,63
TKK-01-0077.annotated.vcf,RVBD_2859c,62
TKK-01-0077.annotated.vcf,RVBD_3343c,48
TKK-01-0077.annotated.vcf,RVBD_3512,47
TKK-01-0077.annotated.vcf,RVBD_1450c,45
TKK-01-0077.annotated.vcf,RVBD_0833,29
TKK-01-0077.annotated.vcf,RVBD_1758,25
TKK-01-0077.annotated.vcf,RVBD_0278c,22
TKK-01-0077.annotated.vcf,RVBD_1945,14
TKK-01-0077.annotated.vcf,RVBD_2931,14
TKK-01-0077.annotated.vcf,RVBD_3327,13
TKK-01-0077.annotated.vcf,RVBD_0834c,11
TKK-01-0077.annotated.vcf,RVBD_3425,10
TKK-01-0078.annotated.vcf,RVBD_0355c,6294
TKK-01-0078.annotated.vcf,RVBD_3343c,5770
TKK-01-0078.annotated.vcf,RVBD_3347c,5389
TKK-01-0078.annotated.vcf,RVBD_3479,3066
TKK-01-0078.annotated.vcf,RVBD_0305c,2101
TKK-01-0078.annotated.vcf,RVBD_3829c,1511
TKK-01-0078.annotated.vcf,RVBD_3480c,1494
TKK-01-0078.annotated.vcf,RVBD_1146,1413
TKK-01-0078.annotated.vcf,RVBD_3476c,1350
TKK-01-0078.annotated.vcf,RVBD_3179,1290
TKK-01-0078.annotated.vcf,RVBD_3514,1268
TKK-01-0078.annotated.vcf,RVBD_3428c,1233
TKK-01-0078.annotated.vcf,RVBD_2294,1224
TKK-01-0078.annotated.vcf,RVBD_1916,1196
TKK-01-0078.annotated.vcf,RVBD_3478,1182
TKK-01-0078.annotated.vcf,RVBD_3021c,1160
TKK-01-0078.annotated.vcf,RVBD_1753c,1045
TKK-01-0078.annotated.vcf,RVBD_1765c,1044
TKK-01-0078.annotated.vcf,RVBD_1043c,1026
TKK-01-0078.annotated.vcf,RVBD_3382c,990
TKK-01-0078.annotated.vcf,RVBD_3508,973
TKK-01-0078.annotated.vcf,RVBD_0823c,946
TKK-01-0078.annotated.vcf,RVBD_1917c,939
TKK-01-0078.annotated.vcf,RVBD_0094c,911
TKK-01-0078.annotated.vcf,RVBD_1764,885
TKK-01-0078.annotated.vcf,RVBD_1756c,885
TKK-01-0078.annotated.vcf,RVBD_3475,885
TKK-01-0078.annotated.vcf,RVBD_2479c,885
TKK-01-0078.annotated.vcf,RVBD_3326,885
TKK-01-0078.annotated.vcf,RVBD_2279,885
TKK-01-0079.annotated.vcf,RVBD_3514,1468
TKK-01-0079.annotated.vcf,RVBD_1764,885
TKK-01-0079.annotated.vcf,RVBD_3475,885
TKK-01-0079.annotated.vcf,RVBD_1756c,885
TKK-01-0079.annotated.vcf,RVBD_2479c,885
TKK-01-0079.annotated.vcf,RVBD_2814c,885
TKK-01-0079.annotated.vcf,RVBD_0796,885
TKK-01-0079.annotated.vcf,RVBD_2106,885
TKK-01-0079.annotated.vcf,RVBD_1369c,885
TKK-01-0079.annotated.vcf,RVBD_2355,885
TKK-01-0079.annotated.vcf,RVBD_3185,885
TKK-01-0079.annotated.vcf,RVBD_3187,885
TKK-01-0079.annotated.vcf,RVBD_3380c,885
TKK-01-0079.annotated.vcf,RVBD_2167c,885
TKK-01-0079.annotated.vcf,RVBD_2279,885
TKK-01-0079.annotated.vcf,RVBD_2649,885
TKK-01-0079.annotated.vcf,RVBD_3508,872
TKK-01-0079.annotated.vcf,RVBD_1450c,801
TKK-01-0079.annotated.vcf,RVBD_1371,611
TKK-01-0079.annotated.vcf,RVBD_2278,327
TKK-01-0079.annotated.vcf,RVBD_1757c,327
TKK-01-0079.annotated.vcf,RVBD_2105,327
TKK-01-0079.annotated.vcf,RVBD_3381c,327
TKK-01-0079.annotated.vcf,RVBD_2815c,327
TKK-01-0079.annotated.vcf,RVBD_2480c,327
TKK-01-0079.annotated.vcf,RVBD_1370c,327
TKK-01-0079.annotated.vcf,RVBD_0795,327
TKK-01-0079.annotated.vcf,RVBD_3474,327
TKK-01-0079.annotated.vcf,RVBD_1763,327
TKK-01-0079.annotated.vcf,RVBD_3186,327
TKK-01-0080.annotated.vcf,RVBD_0355c,8666
TKK-01-0080.annotated.vcf,RVBD_3343c,5561
TKK-01-0080.annotated.vcf,RVBD_1917c,2966
TKK-01-0080.annotated.vcf,RVBD_2823c,2123
TKK-01-0080.annotated.vcf,RVBD_3508,1347
TKK-01-0080.annotated.vcf,RVBD_1916,1196
TKK-01-0080.annotated.vcf,RVBD_2276,1187
TKK-01-0080.annotated.vcf,RVBD_2818c,1149
TKK-01-0080.annotated.vcf,RVBD_2819c,1128
TKK-01-0080.annotated.vcf,RVBD_1753c,1045
TKK-01-0080.annotated.vcf,RVBD_1043c,1026
TKK-01-0080.annotated.vcf,RVBD_2817c,1017
TKK-01-0080.annotated.vcf,RVBD_3018c,949
TKK-01-0080.annotated.vcf,RVBD_2820c,905
TKK-01-0080.annotated.vcf,RVBD_2277c,890
TKK-01-0080.annotated.vcf,RVBD_1045,878
TKK-01-0080.annotated.vcf,RVBD_1756c,856
TKK-01-0080.annotated.vcf,RVBD_2814c,853
TKK-01-0080.annotated.vcf,RVBD_2106,846
TKK-01-0080.annotated.vcf,RVBD_3326,839
TKK-01-0080.annotated.vcf,RVBD_0796,818
TKK-01-0080.annotated.vcf,RVBD_3380c,798
TKK-01-0080.annotated.vcf,RVBD_1369c,797
TKK-01-0080.annotated.vcf,RVBD_2649,794
TKK-01-0080.annotated.vcf,RVBD_3475,792
TKK-01-0080.annotated.vcf,RVBD_3187,789
TKK-01-0080.annotated.vcf,RVBD_1764,779
TKK-01-0080.annotated.vcf,RVBD_2479c,766
TKK-01-0080.annotated.vcf,RVBD_2279,760
TKK-01-0080.annotated.vcf,RVBD_0305c,752
TKK-01-0081.annotated.vcf,RVBD_1756c,885
TKK-01-0081.annotated.vcf,RVBD_3326,885
TKK-01-0081.annotated.vcf,RVBD_0796,885
TKK-01-0081.annotated.vcf,RVBD_3475,885
TKK-01-0081.annotated.vcf,RVBD_2106,885
TKK-01-0081.annotated.vcf,RVBD_2355,885
TKK-01-0081.annotated.vcf,RVBD_3380c,885
TKK-01-0081.annotated.vcf,RVBD_2167c,885
TKK-01-0081.annotated.vcf,RVBD_3514,721
TKK-01-0081.annotated.vcf,RVBD_3343c,572
TKK-01-0081.annotated.vcf,RVBD_2177c,419
TKK-01-0081.annotated.vcf,RVBD_2354,327
TKK-01-0081.annotated.vcf,RVBD_3474,327
TKK-01-0081.annotated.vcf,RVBD_1757c,327
TKK-01-0081.annotated.vcf,RVBD_2105,327
TKK-01-0081.annotated.vcf,RVBD_0795,327
TKK-01-0081.annotated.vcf,RVBD_2168c,327
TKK-01-0081.annotated.vcf,RVBD_3381c,323
TKK-01-0081.annotated.vcf,RVBD_3325,322
TKK-01-0081.annotated.vcf,RVBD_3508,315
TKK-01-0081.annotated.vcf,RVBD_0797,254
TKK-01-0081.annotated.vcf,RVBD_1753c,186
TKK-01-0081.annotated.vcf,RVBD_3511,181
TKK-01-0081.annotated.vcf,RVBD_3281,137
TKK-01-0081.annotated.vcf,RVBD_0355c,136
TKK-01-0081.annotated.vcf,RVBD_0978c,111
TKK-01-0081.annotated.vcf,RVBD_1450c,88
TKK-01-0081.annotated.vcf,RVBD_1087,54
TKK-01-0081.annotated.vcf,RVBD_1758,38
TKK-01-0081.annotated.vcf,RVBD_2048c,27
TKK-01-0082.annotated.vcf,RVBD_3514,1611
TKK-01-0082.annotated.vcf,RVBD_3508,1130
TKK-01-0082.annotated.vcf,RVBD_1765c,1014
TKK-01-0082.annotated.vcf,RVBD_0094c,912
TKK-01-0082.annotated.vcf,RVBD_1450c,687
TKK-01-0082.annotated.vcf,RVBD_3511,477
TKK-01-0082.annotated.vcf,RVBD_1452c,466
TKK-01-0082.annotated.vcf,RVBD_0278c,372
TKK-01-0082.annotated.vcf,RVBD_0797,325
TKK-01-0082.annotated.vcf,RVBD_3019c,291
TKK-01-0082.annotated.vcf,RVBD_3345c,254
TKK-01-0082.annotated.vcf,RVBD_1730c,223
TKK-01-0082.annotated.vcf,RVBD_1753c,187
TKK-01-0082.annotated.vcf,RVBD_0279c,184
TKK-01-0082.annotated.vcf,RVBD_0747,181
TKK-01-0082.annotated.vcf,RVBD_1135c,160
TKK-01-0082.annotated.vcf,RVBD_0090,135
TKK-01-0082.annotated.vcf,RVBD_3512,127
TKK-01-0082.annotated.vcf,RVBD_0095c,99
TKK-01-0082.annotated.vcf,RVBD_1068c,85
TKK-01-0082.annotated.vcf,RVBD_1045,73
TKK-01-0082.annotated.vcf,RVBD_3507,72
TKK-01-0082.annotated.vcf,RVBD_3343c,60
TKK-01-0082.annotated.vcf,RVBD_2543,48
TKK-01-0082.annotated.vcf,RVBD_0045c,43
TKK-01-0082.annotated.vcf,RVBD_2544,39
TKK-01-0082.annotated.vcf,RVBD_1243c,39
TKK-01-0082.annotated.vcf,RVBD_0355c,38
TKK-01-0082.annotated.vcf,RVBD_1087,37
TKK-01-0082.annotated.vcf,RVBD_3344c,32
TKK-01-0083.annotated.vcf,RVBD_3508,956
TKK-01-0083.annotated.vcf,RVBD_3514,745
TKK-01-0083.annotated.vcf,RVBD_2048c,207
TKK-01-0083.annotated.vcf,RVBD_1765c,158
TKK-01-0083.annotated.vcf,RVBD_0978c,141
TKK-01-0083.annotated.vcf,RVBD_1753c,113
TKK-01-0083.annotated.vcf,RVBD_1787,95
TKK-01-0083.annotated.vcf,RVBD_2106,74
TKK-01-0083.annotated.vcf,RVBD_0304c,62
TKK-01-0083.annotated.vcf,RVBD_3343c,57
TKK-01-0083.annotated.vcf,RVBD_2859c,56
TKK-01-0083.annotated.vcf,RVBD_1450c,50
TKK-01-0083.annotated.vcf,RVBD_3512,47
TKK-01-0083.annotated.vcf,RVBD_0797,26
TKK-01-0083.annotated.vcf,RVBD_1758,25
TKK-01-0083.annotated.vcf,RVBD_1945,22
TKK-01-0083.annotated.vcf,RVBD_0278c,20
TKK-01-0083.annotated.vcf,RVBD_1452c,16
TKK-01-0083.annotated.vcf,RVBD_2931,14
TKK-01-0083.annotated.vcf,RVBD_0834c,11
TKK-01-0083.annotated.vcf,RVBD_3074,11
TKK-01-0083.annotated.vcf,RVBD_3425,9
TKK-01-0083.annotated.vcf,RVBD_1588c,9
TKK-01-0083.annotated.vcf,RVBD_0980c,8
TKK-01-0083.annotated.vcf,RVBD_1844c,7
TKK-01-0083.annotated.vcf,RVBD_1336,6
TKK-01-0083.annotated.vcf,RVBD_3347c,5
TKK-01-0083.annotated.vcf,RVBD_0094c,5
TKK-01-0083.annotated.vcf,RVBD_2424c,5
TKK-01-0083.annotated.vcf,RVBD_0236c,5
TKK-01-0084.annotated.vcf,RVBD_3514,1287
TKK-01-0084.annotated.vcf,RVBD_3343c,1086
TKK-01-0084.annotated.vcf,RVBD_3327,1030
TKK-01-0084.annotated.vcf,RVBD_1753c,1028
TKK-01-0084.annotated.vcf,RVBD_1764,885
TKK-01-0084.annotated.vcf,RVBD_1756c,885
TKK-01-0084.annotated.vcf,RVBD_2479c,885
TKK-01-0084.annotated.vcf,RVBD_3326,885
TKK-01-0084.annotated.vcf,RVBD_0796,885
TKK-01-0084.annotated.vcf,RVBD_3475,885
TKK-01-0084.annotated.vcf,RVBD_2106,885
TKK-01-0084.annotated.vcf,RVBD_1369c,885
TKK-01-0084.annotated.vcf,RVBD_2355,885
TKK-01-0084.annotated.vcf,RVBD_2279,885
TKK-01-0084.annotated.vcf,RVBD_3380c,885
TKK-01-0084.annotated.vcf,RVBD_3185,885
TKK-01-0084.annotated.vcf,RVBD_2167c,885
TKK-01-0084.annotated.vcf,RVBD_2649,885
TKK-01-0084.annotated.vcf,RVBD_1765c,843
TKK-01-0084.annotated.vcf,RVBD_3511,442
TKK-01-0084.annotated.vcf,RVBD_2177c,416
TKK-01-0084.annotated.vcf,RVBD_0978c,406
TKK-01-0084.annotated.vcf,RVBD_0980c,375
TKK-01-0084.annotated.vcf,RVBD_2354,327
TKK-01-0084.annotated.vcf,RVBD_2278,327
TKK-01-0084.annotated.vcf,RVBD_3474,327
TKK-01-0084.annotated.vcf,RVBD_1757c,327
TKK-01-0084.annotated.vcf,RVBD_2105,327
TKK-01-0084.annotated.vcf,RVBD_3381c,327
TKK-01-0084.annotated.vcf,RVBD_1370c,327
TKK-01-0085.annotated.vcf,RVBD_3508,1705
TKK-01-0085.annotated.vcf,RVBD_1765c,978
TKK-01-0085.annotated.vcf,RVBD_1764,883
TKK-01-0085.annotated.vcf,RVBD_3380c,882
TKK-01-0085.annotated.vcf,RVBD_2355,880
TKK-01-0085.annotated.vcf,RVBD_2167c,872
TKK-01-0085.annotated.vcf,RVBD_3514,668
TKK-01-0085.annotated.vcf,RVBD_3348,492
TKK-01-0085.annotated.vcf,RVBD_2354,327
TKK-01-0085.annotated.vcf,RVBD_1763,327
TKK-01-0085.annotated.vcf,RVBD_2168c,327
TKK-01-0085.annotated.vcf,RVBD_3381c,318
TKK-01-0085.annotated.vcf,RVBD_1917c,201
TKK-01-0085.annotated.vcf,RVBD_1753c,186
TKK-01-0085.annotated.vcf,RVBD_3355c,146
TKK-01-0085.annotated.vcf,RVBD_0355c,139
TKK-01-0085.annotated.vcf,RVBD_1450c,86
TKK-01-0085.annotated.vcf,RVBD_0305c,67
TKK-01-0085.annotated.vcf,RVBD_3466,60
TKK-01-0085.annotated.vcf,RVBD_3590c,40
TKK-01-0085.annotated.vcf,RVBD_1441c,34
TKK-01-0085.annotated.vcf,RVBD_1588c,29
TKK-01-0085.annotated.vcf,RVBD_0095c,25
TKK-01-0085.annotated.vcf,RVBD_3349c,24
TKK-01-0085.annotated.vcf,RVBD_0425c,22
TKK-01-0085.annotated.vcf,RVBD_3345c,20
TKK-01-0085.annotated.vcf,RVBD_1028c,20
TKK-01-0085.annotated.vcf,RVBD_0278c,19
TKK-01-0085.annotated.vcf,RVBD_1818c,18
TKK-01-0085.annotated.vcf,RVBD_2931,15
TKK-01-0086.annotated.vcf,RVBD_2106,885
TKK-01-0086.annotated.vcf,RVBD_2649,882
TKK-01-0086.annotated.vcf,RVBD_2167c,879
TKK-01-0086.annotated.vcf,RVBD_1369c,876
TKK-01-0086.annotated.vcf,RVBD_1764,875
TKK-01-0086.annotated.vcf,RVBD_3514,836
TKK-01-0086.annotated.vcf,RVBD_3467,494
TKK-01-0086.annotated.vcf,RVBD_3508,419
TKK-01-0086.annotated.vcf,RVBD_3511,378
TKK-01-0086.annotated.vcf,RVBD_1148c,341
TKK-01-0086.annotated.vcf,RVBD_2168c,327
TKK-01-0086.annotated.vcf,RVBD_2105,324
TKK-01-0086.annotated.vcf,RVBD_1370c,324
TKK-01-0086.annotated.vcf,RVBD_2648,324
TKK-01-0086.annotated.vcf,RVBD_1763,322
TKK-01-0086.annotated.vcf,RVBD_3327,313
TKK-01-0086.annotated.vcf,RVBD_3021c,264
TKK-01-0086.annotated.vcf,RVBD_1917c,209
TKK-01-0086.annotated.vcf,RVBD_1753c,200
TKK-01-0086.annotated.vcf,RVBD_3512,191
TKK-01-0086.annotated.vcf,RVBD_0980c,151
TKK-01-0086.annotated.vcf,RVBD_2082,117
TKK-01-0086.annotated.vcf,RVBD_1450c,91
TKK-01-0086.annotated.vcf,RVBD_1068c,85
TKK-01-0086.annotated.vcf,RVBD_3345c,59
TKK-01-0086.annotated.vcf,RVBD_0278c,53
TKK-01-0086.annotated.vcf,RVBD_3350c,43
TKK-01-0086.annotated.vcf,RVBD_3343c,34
TKK-01-0086.annotated.vcf,RVBD_1928c,33
TKK-01-0086.annotated.vcf,RVBD_3466,33
TKK-01-0087.annotated.vcf,RVBD_3508,1903
TKK-01-0087.annotated.vcf,RVBD_3343c,1487
TKK-01-0087.annotated.vcf,RVBD_0305c,1287
TKK-01-0087.annotated.vcf,RVBD_1753c,1050
TKK-01-0087.annotated.vcf,RVBD_1764,885
TKK-01-0087.annotated.vcf,RVBD_3326,885
TKK-01-0087.annotated.vcf,RVBD_0796,885
TKK-01-0087.annotated.vcf,RVBD_2814c,885
TKK-01-0087.annotated.vcf,RVBD_2106,885
TKK-01-0087.annotated.vcf,RVBD_1369c,885
TKK-01-0087.annotated.vcf,RVBD_2355,885
TKK-01-0087.annotated.vcf,RVBD_2279,885
TKK-01-0087.annotated.vcf,RVBD_3380c,885
TKK-01-0087.annotated.vcf,RVBD_2167c,885
TKK-01-0087.annotated.vcf,RVBD_2649,885
TKK-01-0087.annotated.vcf,RVBD_1756c,882
TKK-01-0087.annotated.vcf,RVBD_2479c,880
TKK-01-0087.annotated.vcf,RVBD_3475,872
TKK-01-0087.annotated.vcf,RVBD_3514,869
TKK-01-0087.annotated.vcf,RVBD_2356c,862
TKK-01-0087.annotated.vcf,RVBD_1755c,822
TKK-01-0087.annotated.vcf,RVBD_3021c,792
TKK-01-0087.annotated.vcf,RVBD_1917c,733
TKK-01-0087.annotated.vcf,RVBD_0355c,727
TKK-01-0087.annotated.vcf,RVBD_3189,553
TKK-01-0087.annotated.vcf,RVBD_0354c,552
TKK-01-0087.annotated.vcf,RVBD_3324c,534
TKK-01-0087.annotated.vcf,RVBD_3188,348
TKK-01-0087.annotated.vcf,RVBD_2354,327
TKK-01-0087.annotated.vcf,RVBD_3474,327
TKK-01-0088.annotated.vcf,RVBD_3343c,2308
TKK-01-0088.annotated.vcf,RVBD_3508,1396
TKK-01-0088.annotated.vcf,RVBD_3514,1140
TKK-01-0088.annotated.vcf,RVBD_1753c,1048
TKK-01-0088.annotated.vcf,RVBD_1765c,1019
TKK-01-0088.annotated.vcf,RVBD_0094c,921
TKK-01-0088.annotated.vcf,RVBD_1764,885
TKK-01-0088.annotated.vcf,RVBD_1756c,885
TKK-01-0088.annotated.vcf,RVBD_2479c,885
TKK-01-0088.annotated.vcf,RVBD_2814c,885
TKK-01-0088.annotated.vcf,RVBD_0796,885
TKK-01-0088.annotated.vcf,RVBD_2106,885
TKK-01-0088.annotated.vcf,RVBD_1369c,885
TKK-01-0088.annotated.vcf,RVBD_2355,885
TKK-01-0088.annotated.vcf,RVBD_3326,885
TKK-01-0088.annotated.vcf,RVBD_3380c,885
TKK-01-0088.annotated.vcf,RVBD_2167c,885
TKK-01-0088.annotated.vcf,RVBD_2279,885
TKK-01-0088.annotated.vcf,RVBD_2649,885
TKK-01-0088.annotated.vcf,RVBD_3475,884
TKK-01-0088.annotated.vcf,RVBD_0355c,836
TKK-01-0088.annotated.vcf,RVBD_1450c,655
TKK-01-0088.annotated.vcf,RVBD_1371,614
TKK-01-0088.annotated.vcf,RVBD_1917c,555
TKK-01-0088.annotated.vcf,RVBD_0354c,552
TKK-01-0088.annotated.vcf,RVBD_1452c,549
TKK-01-0088.annotated.vcf,RVBD_3511,477
TKK-01-0088.annotated.vcf,RVBD_2354,327
TKK-01-0088.annotated.vcf,RVBD_2168c,327
TKK-01-0088.annotated.vcf,RVBD_2278,327
TKK-01-0089.annotated.vcf,RVBD_3508,2216
TKK-01-0089.annotated.vcf,RVBD_3343c,1408
TKK-01-0089.annotated.vcf,RVBD_1753c,1031
TKK-01-0089.annotated.vcf,RVBD_3514,910
TKK-01-0089.annotated.vcf,RVBD_1764,885
TKK-01-0089.annotated.vcf,RVBD_1756c,885
TKK-01-0089.annotated.vcf,RVBD_2479c,885
TKK-01-0089.annotated.vcf,RVBD_3326,885
TKK-01-0089.annotated.vcf,RVBD_0796,885
TKK-01-0089.annotated.vcf,RVBD_2279,885
TKK-01-0089.annotated.vcf,RVBD_1369c,885
TKK-01-0089.annotated.vcf,RVBD_2355,885
TKK-01-0089.annotated.vcf,RVBD_3380c,885
TKK-01-0089.annotated.vcf,RVBD_3187,885
TKK-01-0089.annotated.vcf,RVBD_2106,885
TKK-01-0089.annotated.vcf,RVBD_3185,885
TKK-01-0089.annotated.vcf,RVBD_2167c,885
TKK-01-0089.annotated.vcf,RVBD_2649,885
TKK-01-0089.annotated.vcf,RVBD_3475,883
TKK-01-0089.annotated.vcf,RVBD_1587c,622
TKK-01-0089.annotated.vcf,RVBD_3511,479
TKK-01-0089.annotated.vcf,RVBD_0978c,435
TKK-01-0089.annotated.vcf,RVBD_1588c,431
TKK-01-0089.annotated.vcf,RVBD_0980c,428
TKK-01-0089.annotated.vcf,RVBD_2354,327
TKK-01-0089.annotated.vcf,RVBD_2278,327
TKK-01-0089.annotated.vcf,RVBD_3474,327
TKK-01-0089.annotated.vcf,RVBD_3325,327
TKK-01-0089.annotated.vcf,RVBD_1757c,327
TKK-01-0089.annotated.vcf,RVBD_2105,327
TKK-01-0090.annotated.vcf,RVBD_3508,2231
TKK-01-0090.annotated.vcf,RVBD_1764,885
TKK-01-0090.annotated.vcf,RVBD_1756c,885
TKK-01-0090.annotated.vcf,RVBD_2479c,885
TKK-01-0090.annotated.vcf,RVBD_0796,885
TKK-01-0090.annotated.vcf,RVBD_2279,885
TKK-01-0090.annotated.vcf,RVBD_3380c,885
TKK-01-0090.annotated.vcf,RVBD_2649,885
TKK-01-0090.annotated.vcf,RVBD_1369c,884
TKK-01-0090.annotated.vcf,RVBD_2167c,884
TKK-01-0090.annotated.vcf,RVBD_3475,881
TKK-01-0090.annotated.vcf,RVBD_3514,860
TKK-01-0090.annotated.vcf,RVBD_3343c,580
TKK-01-0090.annotated.vcf,RVBD_2278,327
TKK-01-0090.annotated.vcf,RVBD_3474,327
TKK-01-0090.annotated.vcf,RVBD_1757c,327
TKK-01-0090.annotated.vcf,RVBD_2480c,327
TKK-01-0090.annotated.vcf,RVBD_0795,327
TKK-01-0090.annotated.vcf,RVBD_2168c,327
TKK-01-0090.annotated.vcf,RVBD_1370c,326
TKK-01-0090.annotated.vcf,RVBD_2648,325
TKK-01-0090.annotated.vcf,RVBD_1763,322
TKK-01-0090.annotated.vcf,RVBD_3381c,318
TKK-01-0090.annotated.vcf,RVBD_3466,279
TKK-01-0090.annotated.vcf,RVBD_0797,272
TKK-01-0090.annotated.vcf,RVBD_1450c,266
TKK-01-0090.annotated.vcf,RVBD_0978c,251
TKK-01-0090.annotated.vcf,RVBD_2048c,219
TKK-01-0090.annotated.vcf,RVBD_1753c,196
TKK-01-0090.annotated.vcf,RVBD_0980c,180
TKK-01-0091.annotated.vcf,RVBD_3508,838
TKK-01-0091.annotated.vcf,RVBD_3514,747
TKK-01-0091.annotated.vcf,RVBD_3343c,326
TKK-01-0091.annotated.vcf,RVBD_1753c,192
TKK-01-0091.annotated.vcf,RVBD_0355c,138
TKK-01-0091.annotated.vcf,RVBD_1450c,104
TKK-01-0091.annotated.vcf,RVBD_1087,53
TKK-01-0091.annotated.vcf,RVBD_1441c,43
TKK-01-0091.annotated.vcf,RVBD_2048c,40
TKK-01-0091.annotated.vcf,RVBD_3512,31
TKK-01-0091.annotated.vcf,RVBD_3425,28
TKK-01-0091.annotated.vcf,RVBD_1758,25
TKK-01-0091.annotated.vcf,RVBD_3345c,22
TKK-01-0091.annotated.vcf,RVBD_0278c,21
TKK-01-0091.annotated.vcf,RVBD_2064,15
TKK-01-0091.annotated.vcf,RVBD_2931,14
TKK-01-0091.annotated.vcf,RVBD_2101,13
TKK-01-0091.annotated.vcf,RVBD_0575c,10
TKK-01-0091.annotated.vcf,RVBD_0297,10
TKK-01-0091.annotated.vcf,RVBD_0127,9
TKK-01-0091.annotated.vcf,RVBD_1588c,9
TKK-01-0091.annotated.vcf,RVBD_1844c,7
TKK-01-0091.annotated.vcf,RVBD_1067c,7
TKK-01-0091.annotated.vcf,RVBD_0980c,6
TKK-01-0091.annotated.vcf,RVBD_3347c,5
TKK-01-0091.annotated.vcf,RVBD_3558,5
TKK-01-0091.annotated.vcf,RVBD_0095c,5
TKK-01-0091.annotated.vcf,RVBD_3619c,4
TKK-01-0091.annotated.vcf,RVBD_0338c,4
TKK-01-0091.annotated.vcf,RVBD_1452c,4
TKK-01-0092.annotated.vcf,RVBD_3514,1789
TKK-01-0092.annotated.vcf,RVBD_1753c,1040
TKK-01-0092.annotated.vcf,RVBD_1765c,1030
TKK-01-0092.annotated.vcf,RVBD_3508,972
TKK-01-0092.annotated.vcf,RVBD_0094c,912
TKK-01-0092.annotated.vcf,RVBD_1764,885
TKK-01-0092.annotated.vcf,RVBD_2814c,885
TKK-01-0092.annotated.vcf,RVBD_2355,885
TKK-01-0092.annotated.vcf,RVBD_1587c,619
TKK-01-0092.annotated.vcf,RVBD_1450c,612
TKK-01-0092.annotated.vcf,RVBD_3343c,604
TKK-01-0092.annotated.vcf,RVBD_1588c,507
